지점별 입점된 브랜드야. 매출이 10만원 이하면 없다고 가정, 삭제 및 생략하면 되. 

브랜드(Now)	제이빔(JVIM)	인디고뱅크(INDIGOBANK)	레겐보겐(REGENBOGEN)	애니바디(ANYBODY)	신디(CINDY)	데이텀(DATUM)	알토(ALTO)	트랜드컬렉션(TREND COLLECT	SAP	란찌(LANZI)	엠아이수트(MI SUIT)	인디고뱅크키즈(INDIGOBANKKI	신디키즈(CINDYKIDS)	펠릭스키즈(FELIXKIDS)	밀리밤(MILIBAM)	리틀브렌(LITTLE BRENN)	일로딜로(ILODILO)	보보트리(BOBOT	보보트리(BOBOTREE)	타마라(TAMARA)	오스본(OSBORNE)	모스코나(MOSCONA)	CMCUBE	튜브(TUBE)	이즈멜본	멜본	보에띠(BOETTI)	코코리따	치크(CHEEK)	셀덴(CELDEN)	오후(OHOO)	로엠걸즈(ROEM GIRLS)	더데이걸(THE DAY GIRL)	유솔(USALL)	NC베이직	글로벌_상설	앙떼떼	젠토(앵커)	비아트(앵커)	애니바디#	오잇츠	잡화특(온)	럭셔리갤러리	NC픽스	특정_캐릭터사입	특정_공통사입	캐주얼(특정)_사입	잡화(특정)_사입	영캐주얼(특정)_사	신사(특정)_사입	아동(특정)_사입	아동(직매입대리점)	숙녀(특정)_사입	스포츠직매입	특정OPR	국내매입	하이퍼	오아시스	직수입(오프라이스)	오프라이스	산지매입	패션공통(FASHION)	금강(KUMKANG)	나이키(NIKE)	데미안	SPAO(캐주얼)	데코	로엠(ROEM)	로이드(LLOYD)	리바이스	리복(REEBOK)	마리끌레르(MARIE CLAIRE)	무크(MOOK)	미니멈	미센스	미소페(MISOPE)	보디가드	비너스(VENUS)	비비안(VIVIEN)	샘소나이트(SAMSONITE)	세리아	쇼콜라	수비(SUBI)	쉬즈미스	아가방	아디다스(ADIDAS)	아디다스키즈	아레나(ARENA)	아식스(ASICS)	안지크	엄브로(UMBRO)	에블린(EBLIN)	에스콰이아(ESQUIRE)	에이비에프지(ABFZ)	엘칸토(ELCANTO )	엠엘비(MLB)	온앤온(ON n ON)	올리브데올리브(OLIVE DES OL	웨스트우드	인디안(INDIAN)	인터크루	잠뱅이	조이너스	지센(ZISHEN)	크로커다일(CROCODILE)	크로커다일레이디	클라비스(CLOVIS)	클라이드	타미힐피거	트라이엄프	파크랜드(PARKLAND)	푸마(PUMA)	프로스펙스	행텐	후아유	폴햄	프로월드컵	바찌(VACCI)	세르지오(Sergius)	LIVE ON(홈쇼핑)	최연옥(마담)	콜핑(KOLPING)	키플링(KIPLING)	샤링	김영주골프	끄레아또레(CREATORE)	뉴발란스	패션랜드복합관	요하넥스	지오다노	꼼빠니아	패션갤러리	뮤젤	톰보이/보브/지컷	바바팩토리	인동팩토리	린팩토리	와코루(WACOAL)	비씨비지팩토리	제이씨비(JCB)	파렌하이트	컬럼비아	크레송	삼성패션아울렛	꾸까	앤클라인	서브웨이	챔피온(CHAMPION)	디톡스마켓	아니베에프	노스페이스(THENORTHFACE)	지오지아팩토리	휠라키즈	웰메이드	보브(VOV)	샤트렌	베네통키즈	올리비아로렌	스테파니(STEFANI)	베스띠벨리	한스앤그레텔	어스앤뎀	트루젠(TRUGEN)	토토헤로스	미즈노(MIZUNO)	미쏘	명장반점	리스트	리바이스키즈	크록스(CROCS)	폴더(FOLDER)	젝시믹스	문화센터(CULTURECENTER)	허쉬파피(HUSHPUPPIES)	언더아머	커터앤벅(CUTTERANDBUCK)	리틀킹	파올라	장인닭갈비	크록스	모던하우스공통(MODERN HOUSE	리트머스	마인드브릿지	뱅뱅	에브리데이크리스마스	프로젝트M	체이스플러스	두촌가마솥밥앤쭈꾸미	옥소반	한옥마을전주비빔밥	퍼틴	에드호크	랑데자뷰	멤버헐리데이	용호동낙지	JEEP	미분당	이키즈랜드	NBA	탑텐	더블에이트	풋볼그라운드	더블제이디	라이프워크	게스(GUESS)(진)	버커루	에비수	바이넷	직원할인제외봉투	미니골드	유천냉면	엘루나	오에스티(OST)	아나나스	페리엘리스(액세서리)	지스카(ACC)	도쿄엔펄	에스벨	다나	BOHM	월트디즈니	왓치갤러리	아트리아	쥬릭스	로제도르	스톤헨지	딤플토우	넬시	닥스(핸드백)	메트로시티	바나바나	에스콰이아콜렉션	엘레강스(핸드백)	피에르가르뎅(핸드백)	헤지스(핸드백)	아메리칸투어리스트	블랑듀	쌤소나이트 레드	오야니	발리스윗	교보문고	마리끌레르(일용잡화)	다담은찬	싹스탑	종로할머니칼국수	인따르시아(일용잡화)	구찌(일용잡화)	메트로(선글)_엠코드	베네통(양말)	닥스(스카프)	휠라언더웨어	메트로(스카프)_알다	에스틸로(스카프)	몽크로스	룩옵틱스(선글라스)	피에르가르뎅(모자)_엘림	엘르(시즌)_호창	메트로(선글)_알다	아가타(시즌)_훼미리	메트로(시즌잡화)_MJ	피에르가르뎅(시즌)_삼화	질스튜어트(스카프)_JM	엘르(시즌)_유성	칼리베이직	버터	알로(ALO)	와우파티	더바디샵	더페이스샵	미샤(화장품)	퍼퓸 멀티#	오휘	크리스챤디올	아리따움	토니모리	네이쳐리퍼블릭	이니스프리	아모레퍼시픽	LG생활건강	엔프라니	올리브영	프리메라	피쿠니쿠	더샘	써드케이	아로마코	센텔리안	AHC	나인웨스트	랜드로바	바이네르	세라	소다	토피	오브엠	우연	탠디	미셸BY탠디	이사벨	바인드	제옥스(제화)	궁채	앤디앤카렌	노튼제화	명동샤브	쿠치나디까사	새롬유통	채선당자연한가득	꾸즈	나이스클랍	베디베로	르샵	마이티지	무자크	밸리걸	베네통(영캐주얼)	무인상점24	비지트인뉴욕	BTR	숲(SOUP)	시슬리(영캐주얼)	씨(SI)	씨씨콜렉트	엔코코	에고이스트	펠리체	오픈클로젯	오즈세컨	오프리미츠	봄채향	주크	핏제리아오	지지피엑스(GGPX)	코데즈컴바인	카페마마스	톰보이(영캐주얼)	플라스틱아일랜드	평양옥	페이지플린	헤이린뉴욕	틸버리	랩	파파야	아다바트화이트	클리지	나나엘	듀엘	레코브	밀스튜디오	트위(TWEE)	미엘로	르니앤맥코이	나인	탑이슈	나인스텝	메종블랑쉬	르피타	부루앤쥬디	에잇컨셉	반에이크	멜로디가든	쥬시쥬디	엔비플러스	달다곰이	스튜디오화이트	갤럭시(신사정장)	로가디스	바쏘	보스렌자()	브렌우드	트레몰로	펀앤조이	바쏘종합관	레노마옴므	오스틴리드(신사정장)	LF종합관	캠브리지종합관	코오롱종합관	젠	제너럴리퍼블릭	랄프로렌 폴로	마에스트로	올젠	올포유	워모	지오지아	킨록2	프랑코페라로	피에르가르뎅(신사캐주얼)	피에이티(PAT)	카림라시드 복합관	헤지스(신사캐주얼)	본	바쏘옴므	센지	앤드지	에디션	그린조이	디즈니골프	레노마골프	링스	블랙앤화이트(블랙&화	슈페리어	엘르골프	제이디엑스(JDX)	팜스프링	팬텀	PING(핑)	아디다스(골프)	에스핏	마코스포츠	루이까스텔	파사디골프	와이드앵글	벤제프골프	힐크릭	비티알골프	닥스(셔츠/타이)	릴리컴즈	엘르(셔츠)	좋은영화	메종블랑쉬&르피타복합관	듀퐁(셔츠/타이)	란체티(셔츠/타이)	레노마(셔츠)	로베르따셔츠	엠페스트	막스마리오	에스티코(STCO)	예작	엘르(타이)	프랑코페라로(타이)	또와또	레노마키즈	리틀밥독	나인마이너스투	소이	아이사랑(아동)	리안뉴욕	에꼴리에	에어워크주니어	오션스카이	러브앤쇼	궁채쭈락	지오다노주니어	꽃마름	차이797플러스	행텐주니어	오근내닭갈비	쟝피엘	애플핑크	뉴발란스키즈	블랙야크키즈	플레이키즈프로	래핑차일드	앙팡스(압소바)	AK골프	스타일노리터	폴햄키즈	주얼리윤	탑텐키즈	에스마켓키즈	NBA키즈	마이리틀타이거	MLB키즈	아이러브제이	지프키즈	첨이첨이	아이조아	캐릭터월드	미니멜츠	스파오키즈	스케쳐스키즈	오즈키즈	수아팜	잼뽀니	파르베	특정명품	폴햄메가샾	컬리수	페리미츠	타미힐피거키즈	더레노마	디즈니베이비	스노우피크	아프리카	마뇨떡볶이	아가방갤러리	오가닉맘	모이몰른	투에스티	브라운돈까스	김연주	까르벤정	닥스(마담)	데시데	로즈	리본	마담포라	모라도	벨리시앙	부르다문	쁘렝땅	아이니스	우바	이상봉	이헌영패션	조순희	포라리	화이트호스	메르디안	라티움	정훈종	최복호	맨하탄	플리츠미	예본모피	막스까르띠지오	시스막스	요이츠	금강아울렛	데무	브릿지가든	그라피	리안뉴욕	린	모조에스핀	몬테밀라노	미샤(커리어)	발렌시아	벨라디터치	보티첼리	비꼴리끄	비씨비지	아르테	아이잗바바	안느	앤디스클라인	엠씨	오브제	지고트	캐리스노트	프렐린	프로그램	혁비	제시뉴욕	기비/키이스	더아이잗	영우	마레몬테(듀에마레)	메이즈메이	올리비아하슬러	배터리몬	잉어	예다	케이엘	프리벨런스	올앤선드리	미샤팩토리	보니스팍스	지고트팩토리	바네사브루노/질스튜어트	엠벨라	에이렌	아일로	미디어캡슐	베르니스	댑	인생네컷	어나더어썸	라스베이글	하노이별	루시카토	더아이잗컬렉션	엘르이너웨어	붐테이블	코데즈컴바인이너웨어	게스언더웨어	쟈키	레노마수영복	르까프	르꼬끄스포르티브	유니프랜드(모이모이)	AWK	휠라(FILA)	에스마켓	스케쳐스	ABC마트	슈마커	데상트	레노마(모자)_삼화	레노마(모자)_민경	험멜	밸롭	다이나핏	제인코트&티막	EN	쿠기수영복	레이오브아프리카	레드페이스	밀레(MILLET)	블랙야크	아이더(EIDER)	포텐스포츠	케이투(K2)	행텐틴즈	트렉스타	ABC마트키즈	루디 프로젝트	네파	가이아	마르첼리치	비쥬띠에	에뿌	런던포그	락포트(RockPort)	프리머스	비버리힐스폴로클럽	미니파크	마운티아	디스커버리	소노시즌	블럭버스	유나이티드 스포츠	뒤란(DURAN)	더람	아가타/레노마(시즌)_민경	코리아 캠핑	에스엠	모노앤밀키	밸런스	휘게문고	아가방플랙스	블루페퍼	방탈출게임	그루브라임플레이	린컴퍼니	아트키즈	삼백돈 돈카츠	그리니쉬	저글커피바	킴스클럽공통	스시혼텐	해피치즈스마일	슈펜키즈	슈펜	GDR(골프아카데미)	미도인	초밥이찌	신차오	잔카	지파시	잇타이	디루치아노	베츠베츠	사담가	킴스안경클럽	비비안	락앤락	수엔지	글로벌남성	글로벌여성	저스트텐동	피자몰투고	제스파	정관장	인생네컷	1984그수육집칼국수	신지트레이딩	레노마홈	SI복합관	리늄아티카	모쿠모쿠	스시코리아	미스사이공	알리페즈	쿤리콘	아르페지오	슬립앤슬립	아임슬리핑	홍대쌀국수	채선당행복가마솥	마라홀릭	꽃길걷다	시로이돈까스	김영희동태찜코다리냉면	피자몰	착한파스타	더카페	사월에보리밥과쭈꾸미	큐큐면관	다쯔미	다구오	3일국밥	스테이크어스	궁채	피자몰	삼청동멸치국수	샤브정	스트릿츄러스	공차	베스킨라빈스	와플대학	청담동마녀김밥	이름없는파스타	제주면장	한옥마을전주비빔밥	루시카토베이크카페	커스티	은가비(시즌)	JJ지고트	라인	케네스레이디	샤틴	잇미샤	수아팜	와이블랙	알뜨레노띠	엠비티아이커피	오프라벨	충전돼지	더시즌	BA&NI	BBYB	XOXO	파스퇴르밀크바	명동칼국수	위라이크	탤런트클로젯	SOGO(소고)	쌍방울	리펜스튜디오	오닐	시월찜닭	엔캣	만만판차이	쟈키	타카플레이	다원레져	키즈맥스	삼청동샤브	베리클로젯	크린위드	믿음직화	애슐리퀸즈	프랑제리	리미니	로운	테루	반궁	피자몰	자연별곡	원데이클래스	캡텐	북창동순두부	미호식	캉골	LF신사관	유닛	샤또	챔피온	담솥	정도상사	로보	블루문앤코(ACC)	빨질레리	차이홍	국보온돌침대	순남시래기	트라이컬렉션	알래스카	무드앤디디	유니크하우시즘(솜사탕자판기)	리치랜드	시크	잇토스시	랄라컬쳐클럽	템퍼	알레르망	포트메리온	아이리스	크린토피아	메가박스	리눔아티카	헤지스홈	아트박스	수타미	하리오	ELO	베루스	토니모리	비비안	쟈키	아네로	한국오토엠	시너싹스	글라스락	랩_유리프	라이프멜로우	에스엠디지털락커	언더스퀘어	에잇타임즈	어니언수제어묵	유원토이	나이스필	컬러몬	아이엠스타	다니엘컴퍼니	신산커피하우스	TTO	오렌즈	텐퍼센트커피	사이공본가	소복소복호두과자	키즈플래닛	뷰티아울렛	아벨루	한국오토엠	금성침대	하늘아이	희노	편안공간	뭉스베	매직드림	라미에스	펀코인	알렉스앤에이든	달인대보칼국수	게임캠프	다이소	까스텔바작	피렌체안경원	플로듀BY뮤젤	울산점자판기센터	형지 복합관	LF팩토리	웨이브그로서리스토어	오락노리	분짜하노이	크린토피아	서광모드	테팔	캐칭덕	코렐	쥬스콰투아	트래커	티아츠코리아	사만사타바사	키즈꼬모	레스토닉	델란(솜사탕자판기)	키즈인더룸	블랭크브릭	투썸플레이스	속초닭강정	캐치티니핑	메스티지	주드밀러	포커스	해요	23번지남산돈까스	자연향기	리빙아트	씰리	롤리팝	멜리코코	챌린저	에이에이치	미니도우	라비다	베라왕(선글)_태석	트렌디아	UCLA	프로젝트키즈	삼백돈	아크로셀렉트	코르시카나	비프리	마크곤잘레스키즈	슈갤러리	아이디어마켓	두촌가마솥밥&쭈꾸미	명인칼국수&냉면	클라우드제로	7곡제면소	데이롱카페	테루	델리BY애슐리	상하목장	호두앤미	차알	벌크커피	윤훈식농가쌈밥	신룽푸마라탕	에프아이티	소프킹	프라임에이트	송사부고로케	범분식	정담샤브연	아웃도어프로덕트	서울호떡	라스베이글	슬로우템포	브루미즈	뉴욕버거	스케쳐스USA	메트로시티(시즌)	레노마모자(시즌)	루이까또즈(시즌)	구찌 선글라스	만월경	밀도	앤티앤스프레즐	던킨도너츠	데일리스트	마실파크골프	엑스퍼트	신룽푸마라탕	한성돈까스	더벤티	나츠미스시	포르피노	강남쌀국수	명가교동짬뽕	내셔널지오그래픽	소피의 가게	맛있게듬뿍	마녀김밥	이래컴퍼니	아메리칸트레일러	파크야 스크린 파크골프	일루	제주스	푸마키즈(PUMAKIDS)	더봄헤어	에그드랍	타임리스	마리짱	방배김밥	제주스	벌크커피	야심잔기지떡	33떡볶이	북촌손만두	구슬나라	페르케노	동난교자	롯데리아	위니비니	스트릿츄러스	비에뜨반미	방배김밥	카페차이	앨빈즈	아메리칸에그샌드	피자몰투고	밀화당	두란솥밥	백소정	미미뻥	김밥의진수	마스타철판	샤브정	온정	렙쇼메이 스튜디오(LSMY)	젤리킹덤	롤리폴리	캘빈클라인, 랄프로렌	빵집오빠	용호낙지	퍼부어	커피에반하다	롯데리아	삼형제김밥	홍대돈부리	달인대보칼국수	고망고	그라미	윤종희떡방	속초코다리냉면	리김밥	아우어베이커리	진고복	석관동떡볶이	뚜레주르	김밥클래스	서울은마꽈베기	맘스터치	피자몰뷔페	통영청정어묵	강남교자	홍미당	제주애월카츠	탄탄면공방	사이공본가	유천냉면	봄채향	남산식당	지구당	브라운돈까스	청춘꼬마김밥	주몽	얌차	제순식당	롤링핀	지미헤르츠	어니언수제어묵	천우토탈	골드키즈	고피자	타미야	타로라멘	카페필로소피	킹스꼬마김밥	홍리마라탕	아시아문	남산돈까스	클라셰외	털보고된이	일룸(ILOOM)	삼청동멸치국수	대교 트니트니PLUS	조르지오페리	내셔널지오그래픽키즈	폴로 랄프로렌, 라코스테외	빈트릴	어노이드	볼앤체인	엘르(캐리어)	랩101	23번지남산돈까스	대한콩국	북촌순두부	두촌가마솥밥	젤리젤리	세이브마이백	루비라운지	맥스온누리 약국	루루박스	토이월드	명동칼국수샤브샤브	젠사이	백미당	슬코	소극장 마니마니	종로서적	모노크롬	메르시엔숲	노르디스크	볼빅	조에벨	코다리밥도둑	나폴레옹베이커리	그레비	만나강정	시래정	인까사	하루포케X코브라독스	엘케이트	디저트팩토리	착한베이커리N죽	카와이토모	디바코	바바&바바	봉혜자네주방	일러스타	솥내음	옥된장	비업에이이	부디드마켓	해피랜드하우스	로하스테크	하이마트	수제어묵	바디프랜드	예스24	다솜쥬토피아생태체험관	솜사탕자판기	스시이안앤	까유	파도가	짬뽕관	아티코드	한샘홈퍼니싱	짐보리	바베파파	한옥마을비빔밥&콩나물국밥	레저로파크골프	루스빈티지	후지필름	하루엔소쿠	함안수박빵	에스까다(ESCADA)	앨빈클로	바바라 네일샵	담양큰닭칼국수	코닥	리턴마켓	바바앤바바	에벤에셀	레포크	마하그리드	스테이브레드	엘르홈	영풍문고	교보문고	스포츠아카데미	모양가발	헬로방방	VNY스튜디오	팔곡밀면	육거리떡볶이	발발빈티지	키드존	아이윌컴퍼니	그림아이	블럭버스	레스트인네이쳐	인더캡슐	와키윌리	유이스시	해온	S뷰티아울렛	마켓인서울	풀포우스트	하이브리드	미미월드	비바무역	나따오비까	에스제이듀코	아임팟	개순이상점	J BY JENNY STUDIO	무유무유	39치떡	아르넛	그랜드침대	마인드브릿지 유스	마레드	헌터	퓨어파이브	봉보니	새마을식당	파도가	게스키즈	버거킹(burgerking)	맥도날드	닥스침구()	소극장(LITTLETHEATER)	놀부부대찌개	한국도자기	푸드코트공통(FOOD COURT)	피자몰	명동칼국수	후원	스타벅스	신기소	리미니	카페루고	다쯔미	던킨도너츠	롯데리아	반궁	테루	다구오	더카페	로운	삼백집	후쿠오카함박	아비꼬	공차	스트릿츄러스	폴바셋	곤트란쉐리에	북촌손만두	오뎅식당	청년다방	홍대돈부리	방배김밥	더벤티	포메인	씨지브이(CGV)	담소	차타임(CHATIME)	미스사이공	홍대쌀국수	앤티앤스프레즐	중화가정	샤브보트	스시선	두끼	플레이타임	스시오	데일리라이크	인까사	코코몽키즈랜드	마녀김밥	멘무샤	아오키카츠쿠라	사월에보리밥과쭈꾸미	경성함바그	도쿄이찌바	신복관	샤브문	제주스	큐큐면관	메가커피	겐텐	컴포즈커피	호천당	헤지스홈	전자랜드	모쿠모쿠	강촌식당	브루미즈	영풍문고	엠프파트너스	알로안경점	엠제이실용음악학원	로하스테크	남산돈까스	홍미당	스테이크어스	루고	델리커리	할리스커피	예스24	한옥집김치찜	두촌가마솥밥	강남교자
중계점				72,670,374	46,027,300	74,186,700		72,552,500		36,388,400	30,835,400	57,347,600	45,443,800		44,059,300	38,221,400	22,756,490			44,764,600	38,332,100	52,174,000	62,202,600	45,570,000	41,580,700	73,434,000			26,130,500			31,471,690	42,607,000	38,736,600	#####	####	35,983,200						119,800	5,987,440		3,520,200	6,365,100	95,840		1,203,720	19,116,592		22,375,360		22,072,320	49,950	381,223,259		19,160	25,362,244		33,732		16,691,560		97,622,500	25,028,000		33,773,100							31,766,000		18,335,400	15,006,000					80,051,480	49,806,610		7,133,000	23,448,100			23,091,640				116,967,570					44,002,100	8,425,400				16,432,200		56,734,260	53,806,900			17,657,700	22,813,620			46,229,290	84,587,200		17,894,700					35,641,200				54,334,500		20,443,600	44,127,500					65,039,480						24,772,800												24,255,700		29,209,800		19,407,800											50,017,800		45,475,100						2,864,720	19,169,500				437,752,330		51,891,960			87,206,000										44,281,360			22,953,640		54,109,100		41,127,100	25,026,780	85,404,500	30,289,840			0	29,214,300			16,587,210										2,210,000					1,050,500					15,269,900	19,345,800		44,431,800			24,382,440	12,668,500									7,892,500							14,164,700		12,936,200	16,873,900			-79,000							26,200,590										20,030,120																			50,379,400												32,613,480						60,105,700		26,358,630		48,058,500	23,961,840		35,189,609		32,788,390						29,662,900																24,702,380															60,118,978	36,018,110				56,948,200			64,110,460				35,621,400									64,598,600			34,296,344		14,380,050	12,508,400	38,124,700				16,166,830			33,509,425				25,218,860		23,592,720			10,535,750	44,080,880			40,109,220					350,000					9,663,000					30,563,100						8,932,000									28,887,600												54,279,920	25,506,900	33,058,830		33,804,400			40,046,250	6,242,400	44,496,050		14,757,600									51,308,800			13,249,300			72,369,000				38,221,940																											24,290,000													25,076,146				25,358,400	49,939,540		64,634,760	15,536,400				74,677,000					32,136,800								28,175,090									42,300,550				48,064,200																						28,307,150		35,678,900			107,426,450	135,381,200		60,760,870			17,704,410									42,172,200	31,480,700		86,872,400	33,826,530				43,928,400										19,708,000	100,017,800				49,444,300											19,635,400						7,570																			1,938,600													20,726,000							7,674,600												22,276,800																		30,020,990																	62,526,570																	185,762,830						176,951,257																																																																											877,000					602,560																							57,159,900																										7,603,000								302,034,126																			33,104,400																																	6,550,000				11,437,200	7,621,500	2,818,000	11,001,300																																																																																	25,688,320																																																																																																															1,594,560																																																														29,835,100						11,599,030				26,488,600			10,348,400										20,799,800							
안양점				39,395,950	20,429,100	16,989,500		8,564,700								1,988,700										36,553,800																														0	0			0				21,740,660				1,543,500				11,535,240			15,034,700						18,852,000				24,192,350					9,434,099			23,710,800		28,852,800				8,102,400			17,005,500	20,695,230		72,552,760	69,087,401	16,064,970				9,941,200		110,447,600	38,018,100			24,342,400					44,015,000	12,942,280																																					17,590,570														11,877,800				23,047,000				10,111,670				21,501,250																					3,609,700		0														16,000,800										21,351,600																					26,127,000										6,986,900											24,506,256					30,118,060															6,995,000																		13,455,800	15,838,140	26,270,500									26,405,700			12,012,750													19,569,400																																																		43,466,000														21,326,400																																	55,740,500																																										15,829,600		6,784,320																30,368,000							9,711,100			11,253,000		12,616,000		10,039,000																			66,399,400							21,555,000							8,479,008																			6,698,000																								22,945,150													32,704,000						42,115,190									20,130,100					30,030,600							10,022,300																																	40,992,200																																																																						8,877,800																																																																																																															17,284,808																																																																																																																																																																																																																																																																					2,956,000																																																																																																																																	
분당점				83,281,600	51,037,520	52,260,800		33,941,500	0	42,617,200	23,051,000	69,372,900	27,273,500		54,303,500					39,564,600	57,980,900	39,359,100	60,338,620	36,347,700	27,872,150	104,481,700	52,483,920					18,577,100	46,109,470	53,398,860			4,062,400	94,900					13,274,810	20,125,910	237,000	3,108,030	32,791,240	560,810	156,700	6,301,900	142,844,410		138,413,090		123,737,720	8,168,345	2,838,119,294		349,996	102,137,227		117,600				66,246,300			54,378,860	39,241,750			23,820,520			17,403,800		32,847,050	28,155,200					67,169,360	27,124,600	0				51,402,500				22,219,900	48,881,600			32,828,520	7,104,200			30,049,800			37,058,700	37,394,580	31,730,790			33,806,300	31,311,500	11,899,580		42,395,030	53,584,280			14,067,200				33,149,000	30,938,070				44,559,210		31,070,300	51,818,880										25,437,500	32,346,559	16,983,800				23,061,796				17,085,600				30,074,700				26,127,930		31,514,166								40,751,000		44,612,500							20,599,350				387,718,200		87,059,070			94,113,640										40,291,770			24,830,300					42,026,800	78,871,000	34,730,620			0	32,727,800													26,929,400										33,535,200			21,091,000							32,118,850						17,565,205			13,690,300									14,839,500								26,873,530										24,098,800								34,778,800						16,544,800					75,877,000						294,000						22,501,800						72,057,400				18,592,110	38,201,830		53,152,472				51,248,450				67,026,973										42,278,800						84,539,660												13,242,200	19,554,600		27,766,720	46,658,500				78,557,570	31,551,200		16,697,300	26,134,070			53,787,000									87,378,870			36,341,888		51,095,140		46,309,000						29,040,250	56,239,658		17,481,000				41,814,300	49,335,400	25,592,110		58,168,430					58,597,300	23,079,720					42,324,290								12,286,400					3,866,000						37,169,601			20,651,900																21,736,680		14,719,100	26,270,550																22,440,830			43,935,850	44,086,300				38,064,700							13,567,900								30,715,300					67,751,200				45,613,000		45,735,000																		31,303,470			59,011,000			54,075,000	79,314,158		45,106,280						23,270,200					58,450,720	30,641,440								43,019,050				38,027,000				20,110,200								17,563,310			16,047,600					18,266,300			13,665,100		19,585,400	63,868,100	97,273,400									17,647,200				23,665,000				46,117,000	55,749,000	54,493,100		15,214,300																		35,817,000																14,000													15,471,500					-254,600																24,306,000											60,189,210		16,660,920				23,797,720		44,861,400						13,644,120	15,327,870					68,309,100				34,808,950		30,055,440	21,116,420	33,629,260													17,650,300																	173,391,660		45,022,120																								52,826,200																																													11,609,100															22,572,800									24,663,440																		672,000																				10,266,780																					18,513,750																																																				6,735,227																																									21,841,500	28,959,980																	16,782,500																																															14,589,758																																					2,317,200																																							3,221,000	3,977,000																							117,152,820		3,219,700				31,607,520	50,613,600																																							15,394,900				18,063,000				32,384,365																				
해운대점				36,130,593	24,314,900	39,148,700		20,514,100		30,600,500	12,362,000	46,231,500	37,559,300		31,945,597	13,794,200	31,499,200			15,517,400	23,534,220	40,864,200	40,022,500		32,760,100	27,374,400			31,088,500		22,973,550	36,750,500	42,220,621	16,779,100	#####	####	20,831,580																			2,163,710	1,088,288,258		239,720	45,450,988	91,960							24,286,920	45,630,450			14,050,000	16,361,720		16,265,000	26,735,000		66,070,460	24,984,700		16,002,000			33,225,600	27,464,890			17,650,200						4,086,300	51,429,000						21,089,100	17,961,800	24,103,090	35,063,730		30,269,030	25,116,290	19,441,320		14,862,900	23,168,400			25,922,600		95,766,150	36,095,990					33,710,000					53,041,850																							20,129,100								24,891,170	12,233,500	25,379,500		23,769,580						34,320,100	25,760,080								14,155,300				264,707,700	14,873,390	27,681,090			40,005,300	43,404,400	17,569,000				12,682,900								114,464,860					55,591,200				0														25,113,000										26,831,000	10,518,700			12,085,000												10,949,200			9,331,000							5,834,000									15,018,960							28,517,080					41,375,750				50,666,900			0											-89,000	12,004,000		12,968,000			4,702,000				26,864,400						11,701,140	19,090,100			36,614,900		5,650,000		41,989,100		17,732,000			20,331,600													20,190,800									23,600,100		10,369,100							33,568,340	19,010,400	17,584,100		31,662,140								33,411,660	24,000,600													15,749,600	21,662,400	12,904,896											13,692,596		47,129,408		31,430,720		31,114,500				55,018,950			29,719,450		35,967,000	36,460,410													12,022,200									10,799,500		63,489,300	9,058,600		37,541,400	25,839,400																		26,844,140		21,513,200											27,547,300			22,988,900						13,050,200		39,056,700							25,318,900										12,562,400																					15,076,000										16,526,000			90,134,200										30,325,900			38,538,324	36,926,200								21,035,650				31,002,100															18,872,500		18,985,000						25,815,404				68,642,020	80,556,100	28,907,900							23,266,300			31,642,500	28,868,000						26,184,210		22,190,500												7,744,600					14,449,800		9,805,600									15,921,700									144,400	65,382,801										4,046,000		14,454,600	84,635,600											42,300,130											22,929,970						52,999,530																						13,183,840																					26,281,200		13,861,440							3,785,000						183,257,930																										9,858,000															48,038,720															5,596,200															44,377,700																																											21,816,060		22,776,120																								7,235,600																																																																																																																																																																													7,430,000																		714,500																															101,288,840																																					569,200													108,525,395		28,024,530								1,965,700																									25,873,100														3,686,400	7,361,031	13,637,460																							
천호2점	0	0	0	21,844,450			0	58,113,600	-2,799,300	48,579,800	40,956,000	25,156,400	15,088,200		42,510,900	9,379,900				10,250,600	18,648,000	26,735,300	26,098,400	20,267,500		40,287,990						13,962,900	31,159,200	44,147,230	#####	####							5,547,940	9,160,031	2,560,100	9,238,820	48,539,900	15,900	11,306,880	8,333,780	39,703,784	0	100,776,139	0	107,374,161							153,201																	7,434,700						25,647,700					21,041,000			9,675,770	5,817,210	61,096,000				17,434,660			16,471,600			23,905,600		27,876,530	226,900					27,352,600	22,804,770		20,609,700											129,660,840																							12,181,600										20,540,300								21,091,500						8,178,300							129,504,820	7,616,560				20,129,450								21,020,700															0																								14,473,500																							12,330,000																															8,312,500																						8,006,300						30,937,100		1,382,672			27,013,770		15,743,850					24,479,800						9,961,500							13,345,000									11,336,800														34,764,100				38,253,317			19,624,640																22,276,248				56,524,400							395,000						13,786,260			5,744,250				17,780,000			27,968,290														329,502,730													20,769,200																			28,607,400																													0																			15,619,000		30,103,400																						13,630,080						13,404,000						19,608,200	17,009,200												30,009,850																											20,021,000				73,860,160	104,471,300												48,374,000						24,578,200	30,199,100													24,675,900																12,590,300																			5,804,000					23,371,900																																																																								18,319,290													199,792,040																																																																																																																																																																																																																																																																																																																																											437,000																																																																															10,531,500												11,998,300																																																															26,251,600	
