,,,년월,전체 결과,전체 결과,전체 결과,전체 결과,전체 결과,전체 결과,2025-01,2025-01,2025-01,2025-01,2025-01,2025-01,2025-02,2025-02,2025-02,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2025-03,2025-03,2025-03,2025-04,2025-04,2025-04,2025-04,2025-04,2025-04,2025-05,2025-05,2025-05,2025-05,2025-05,2025-05,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05
,,,,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익,총 매출액,총 매출액,총 매출액,매출 총 이익,매출 총 이익,매출 총 이익
,,,구조,2026-01-01,[-] 2025-01-01,"1~2기간
EFA,가정문화,H649,아임슬리핑,"498,859,979","377,161,500",32.3,"111,537,124","84,397,550",32.2,,"74,753,300",-100.0,,"16,957,914",-100.0,,"75,831,900",-100.0,,"17,187,340",-100.0,,"52,407,000",-100.0,,"11,887,984",-100.0,,"47,348,800",-100.0,,"10,697,718",-100.0,,"126,820,500",-100.0,,"27,666,594",-100.0,"117,463,610",,0.0,"26,360,649",,0.0,"105,945,210",,0.0,"23,637,477",,0.0,"108,630,700",,0.0,"24,338,288",,0.0,"69,040,000",,0.0,"15,472,227",,0.0,"97,780,459",,0.0,"21,728,483",,0.0
EFA,가정문화,H773,커스티,"211,555,140","51,669,520",309.4,"48,080,715","11,743,071",309.4,,"8,473,100",-100.0,,"1,925,704",-100.0,,"8,952,720",-100.0,,"2,034,710",-100.0,,"11,425,020",-100.0,,"2,596,598",-100.0,,"10,402,000",-100.0,,"2,364,088",-100.0,,"12,416,680",-100.0,,"2,821,971",-100.0,"16,220,620",,0.0,"3,686,507",,0.0,"71,201,840",,0.0,"16,182,239",,0.0,"24,921,310",,0.0,"5,663,932",,0.0,"60,269,810",,0.0,"13,697,685",,0.0,"38,941,560",,0.0,"8,850,352",,0.0
EFA,가정문화,H787,수아팜,"23,932,720","26,928,150",-11.1,"5,983,180","6,732,039",-11.1,,"5,055,000",-100.0,,"1,263,750",-100.0,,"4,555,150",-100.0,,"1,138,787",-100.0,,"5,204,650",-100.0,,"1,301,163",-100.0,,"7,071,350",-100.0,,"1,767,838",-100.0,,"5,042,000",-100.0,,"1,260,501",-100.0,"3,451,400",,0.0,"862,850",,0.0,"4,311,200",,0.0,"1,077,800",,0.0,"4,566,100",,0.0,"1,141,525",,0.0,"5,811,820",,0.0,"1,452,955",,0.0,"5,792,200",,0.0,"1,448,050",,0.0
EFA,가정문화,H796,HTL,"2,650,000",,0.0,"505,909",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,650,000",,0.0,"505,909",,0.0
EFA,가정문화,H803,알뜨레노띠,"223,378,100","121,040,100",84.5,"34,522,071","18,706,198",84.5,,"27,260,000",-100.0,,"4,212,909",-100.0,,"24,970,000",-100.0,,"3,859,001",-100.0,,"31,280,000",-100.0,,"4,834,181",-100.0,,"15,680,100",-100.0,,"2,423,290",-100.0,,"21,850,000",-100.0,,"3,376,817",-100.0,"44,948,000",,0.0,"6,946,508",,0.0,"54,830,000",,0.0,"8,473,729",,0.0,"35,250,000",,0.0,"5,447,726",,0.0,"31,570,100",,0.0,"4,879,015",,0.0,"56,780,000",,0.0,"8,775,093",,0.0
EFA,가정문화,H866,보몽드,"79,581,800","31,576,000",152.0,"19,533,718","7,750,471",152.0,,,,,,,,,,,,,,,,,,,,"6,293,000",-100.0,,"1,544,645",-100.0,,"25,283,000",-100.0,,"6,205,826",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,"79,581,800",,0.0,"19,533,718",,0.0
EFA,가정문화,H963,에몬스,"108,800,000",,0.0,"10,880,000",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,360,000",,0.0,"5,736,000",,0.0,"51,440,000",,0.0,"5,144,000",,0.0,,,,,,,,,,,,,,,,,,
EFA,가정문화,H967,몽드블랑,,"341,658,260",-100.0,,"40,559,728",-100.0,,"74,596,200",-100.0,,"8,250,866",-100.0,,"113,123,900",-100.0,,"13,650,140",-100.0,,"85,432,860",-100.0,,"10,351,312",-100.0,,"58,887,000",-100.0,,"7,170,700",-100.0,,"9,618,300",-100.0,,"1,136,710",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,H974,샤또,"28,175,000","8,300,000",239.5,"4,610,461","1,358,183",239.5,,,,,,,,,,,,,,,,,,,,,,,,,,"8,300,000",-100.0,,"1,358,183",-100.0,"9,460,000",,0.0,"1,548,000",,0.0,"3,062,000",,0.0,"501,054",,0.0,"3,950,000",,0.0,"646,365",,0.0,"2,047,000",,0.0,"334,966",,0.0,"9,656,000",,0.0,"1,580,076",,0.0
EFA,가정문화,H997,국보온돌침대,"57,310,000","87,904,000",-34.8,"7,815,001","11,986,913",-34.8,,"23,380,000",-100.0,,"3,188,184",-100.0,,"7,566,000",-100.0,,"1,031,728",-100.0,,"17,860,000",-100.0,,"2,435,455",-100.0,,"19,200,000",-100.0,,"2,618,182",-100.0,,"19,898,000",-100.0,,"2,713,364",-100.0,"17,450,000",,0.0,"2,379,543",,0.0,"12,100,000",,0.0,"1,650,002",,0.0,"7,210,000",,0.0,"983,183",,0.0,"13,400,000",,0.0,"1,827,274",,0.0,"7,150,000",,0.0,"974,999",,0.0
EFA,가정문화,I021,리치랜드,"124,857,400","110,897,100",12.6,"22,701,346","20,163,110",12.6,,"17,024,000",-100.0,,"3,095,272",-100.0,,"19,129,000",-100.0,,"3,477,997",-100.0,,"20,385,100",-100.0,,"3,706,382",-100.0,,"27,434,000",-100.0,,"4,988,001",-100.0,,"26,925,000",-100.0,,"4,895,458",-100.0,"18,365,000",,0.0,"3,339,086",,0.0,"18,615,100",,0.0,"3,384,567",,0.0,"18,510,800",,0.0,"3,365,601",,0.0,"29,989,200",,0.0,"5,452,583",,0.0,"39,377,300",,0.0,"7,159,509",,0.0
EFA,가정문화,I045,템퍼,"107,455,800","140,031,300",-23.3,"16,606,802","21,641,203",-23.3,,"26,487,050",-100.0,,"4,093,454",-100.0,,"32,576,750",-100.0,,"5,034,590",-100.0,,"21,875,600",-100.0,,"3,380,777",-100.0,,"34,110,250",-100.0,,"5,271,583",-100.0,,"24,981,650",-100.0,,"3,860,799",-100.0,"10,570,800",,0.0,"1,633,670",,0.0,"18,760,800",,0.0,"2,899,395",,0.0,"31,312,800",,0.0,"4,839,249",,0.0,"20,813,000",,0.0,"3,216,554",,0.0,"25,998,400",,0.0,"4,017,934",,0.0
EFA,가정문화,I047,알레르망,"114,642,780","129,902,400",-11.7,"29,479,235","33,356,203",-11.6,,"15,710,200",-100.0,,"3,980,319",-100.0,,"20,088,900",-100.0,,"5,162,833",-100.0,,"28,480,000",-100.0,,"7,242,541",-100.0,,"40,305,300",-100.0,,"10,335,968",-100.0,,"25,318,000",-100.0,,"6,634,542",-100.0,"16,682,900",,0.0,"4,387,565",,0.0,"20,301,100",,0.0,"5,344,645",,0.0,"28,789,100",,0.0,"7,294,903",,0.0,"28,596,480",,0.0,"7,271,930",,0.0,"20,273,200",,0.0,"5,180,192",,0.0
EFA,가정문화,I050,포트메리온,"429,841,322","278,306,866",54.4,"50,247,998","35,350,929",42.1,,"34,486,710",-100.0,,"4,298,215",-100.0,,"75,123,290",-100.0,,"9,293,921",-100.0,,"76,975,008",-100.0,,"10,030,266",-100.0,,"16,413,430",-100.0,,"1,948,104",-100.0,,"75,308,428",-100.0,,"9,780,423",-100.0,"69,685,310",,0.0,"8,137,901",,0.0,"138,566,270",,0.0,"16,227,807",,0.0,"79,890,232",,0.0,"9,307,736",,0.0,"87,727,110",,0.0,"10,255,915",,0.0,"53,972,400",,0.0,"6,318,639",,0.0
EFA,가정문화,I051,아이리스,"104,337,700","113,822,650",-8.3,"23,716,062","25,868,789",-8.3,,"19,223,400",-100.0,,"4,368,955",-100.0,,"18,753,300",-100.0,,"4,262,115",-100.0,,"25,933,500",-100.0,,"5,893,979",-100.0,,"24,629,500",-100.0,,"5,597,612",-100.0,,"25,282,950",-100.0,,"5,746,128",-100.0,"21,630,500",,0.0,"4,916,020",,0.0,"21,744,000",,0.0,"4,941,818",,0.0,"23,850,000",,0.0,"5,420,456",,0.0,"18,011,200",,0.0,"4,096,405",,0.0,"19,102,000",,0.0,"4,341,363",,0.0
EFA,가정문화,I065,리눔아티카,"81,990,200","43,540,100",88.3,"17,888,744","9,499,654",88.3,,"9,600,100",-100.0,,"2,094,572",-100.0,,"5,655,000",-100.0,,"1,233,818",-100.0,,"7,927,000",-100.0,,"1,729,526",-100.0,,"9,906,000",-100.0,,"2,161,304",-100.0,,"10,452,000",-100.0,,"2,280,434",-100.0,"13,319,000",,0.0,"2,905,962",,0.0,"10,342,000",,0.0,"2,256,428",,0.0,"12,081,000",,0.0,"2,635,846",,0.0,"23,833,000",,0.0,"5,199,920",,0.0,"22,415,200",,0.0,"4,890,588",,0.0
EFA,가정문화,I066,헤지스홈,"165,281,426","113,718,650",45.3,"37,563,962","25,845,146",45.3,,"20,895,050",-100.0,,"4,748,877",-100.0,,"19,990,840",-100.0,,"4,543,367",-100.0,,"22,838,960",-100.0,,"5,190,672",-100.0,,"25,277,600",-100.0,,"5,744,912",-100.0,,"24,716,200",-100.0,,"5,617,318",-100.0,"27,217,700",,0.0,"6,185,846",,0.0,"28,195,926",,0.0,"6,408,165",,0.0,"35,197,800",,0.0,"7,999,499",,0.0,"38,524,400",,0.0,"8,755,545",,0.0,"36,145,600",,0.0,"8,214,907",,0.0
EFA,가정문화,I075,아트박스,"1,658,453,467","1,135,596,570",46.0,"241,229,578","165,177,673",46.0,,"243,043,310",-100.0,,"35,351,763",-100.0,,"245,609,510",-100.0,,"35,725,006",-100.0,,"243,966,710",-100.0,,"35,486,060",-100.0,,"171,916,650",-100.0,,"25,006,052",-100.0,,"231,060,390",-100.0,,"33,608,792",-100.0,"242,764,030",,0.0,"35,311,129",,0.0,"352,473,470",,0.0,"51,268,876",,0.0,"320,521,507",,0.0,"46,621,304",,0.0,"251,081,470",,0.0,"36,520,938",,0.0,"491,612,990",,0.0,"71,507,331",,0.0
EFA,가정문화,I076,수타미,"23,970,490","28,106,820",-14.7,"5,012,010","5,876,881",-14.7,,"6,825,830",-100.0,,"1,427,220",-100.0,,"5,539,400",-100.0,,"1,158,238",-100.0,,"5,220,140",-100.0,,"1,091,482",-100.0,,"6,007,650",-100.0,,"1,256,146",-100.0,,"4,513,800",-100.0,,"943,795",-100.0,"4,073,490",,0.0,"851,728",,0.0,"4,321,200",,0.0,"903,524",,0.0,"6,199,580",,0.0,"1,296,276",,0.0,"4,305,280",,0.0,"900,194",,0.0,"5,070,940",,0.0,"1,060,288",,0.0
EFA,가정문화,I077,하리오,"10,883,020","9,205,680",18.2,"1,582,982","1,339,012",18.2,,"2,122,150",-100.0,,"308,678",-100.0,,"2,043,200",-100.0,,"297,194",-100.0,,"1,251,500",-100.0,,"182,039",-100.0,,"1,921,030",-100.0,,"279,420",-100.0,,"1,867,800",-100.0,,"271,681",-100.0,"3,728,000",,0.0,"542,255",,0.0,"2,583,500",,0.0,"375,781",,0.0,"995,400",,0.0,"144,785",,0.0,"1,643,870",,0.0,"239,107",,0.0,"1,932,250",,0.0,"281,054",,0.0
EFA,가정문화,I079,ELO,"61,854,560","58,976,990",4.9,"8,997,034","8,578,462",4.9,,"14,639,200",-100.0,,"2,129,332",-100.0,,"10,048,860",-100.0,,"1,461,652",-100.0,,"13,829,820",-100.0,,"2,011,607",-100.0,,"11,208,540",-100.0,,"1,630,333",-100.0,,"9,250,570",-100.0,,"1,345,538",-100.0,"12,821,940",,0.0,"1,865,008",,0.0,"12,455,880",,0.0,"1,811,763",,0.0,"12,694,320",,0.0,"1,846,446",,0.0,"12,691,540",,0.0,"1,846,043",,0.0,"11,190,880",,0.0,"1,627,774",,0.0
EFA,가정문화,I082,베루스,"135,946,700","127,437,300",6.7,"35,743,623","33,517,943",6.6,,"24,055,500",-100.0,,"6,328,027",-100.0,,"23,789,800",-100.0,,"6,256,029",-100.0,,"25,611,100",-100.0,,"6,717,955",-100.0,,"25,340,200",-100.0,,"6,679,414",-100.0,,"28,640,700",-100.0,,"7,536,518",-100.0,"25,754,800",,0.0,"6,779,174",,0.0,"24,001,800",,0.0,"6,326,401",,0.0,"29,173,200",,0.0,"7,672,470",,0.0,"27,125,300",,0.0,"7,112,865",,0.0,"29,891,600",,0.0,"7,852,713",,0.0
EFA,가정문화,I084,토니모리,"60,903,020","63,184,050",-3.6,"13,841,588","14,360,005",-3.6,,"14,002,620",-100.0,,"3,182,411",-100.0,,"10,578,630",-100.0,,"2,404,235",-100.0,,"13,065,740",-100.0,,"2,969,483",-100.0,,"13,020,210",-100.0,,"2,959,136",-100.0,,"12,516,850",-100.0,,"2,844,740",-100.0,"12,540,060",,0.0,"2,850,015",,0.0,"12,361,560",,0.0,"2,809,444",,0.0,"11,000,080",,0.0,"2,500,013",,0.0,"13,000,830",,0.0,"2,954,731",,0.0,"12,000,490",,0.0,"2,727,385",,0.0
EFA,가정문화,I085,비비안,"99,600,820","92,817,990",7.3,"24,900,205","23,204,498",7.3,,"16,627,800",-100.0,,"4,156,950",-100.0,,"13,306,540",-100.0,,"3,326,635",-100.0,,"17,302,000",-100.0,,"4,325,500",-100.0,,"19,465,600",-100.0,,"4,866,400",-100.0,,"26,116,050",-100.0,,"6,529,013",-100.0,"15,941,500",,0.0,"3,985,375",,0.0,"16,301,240",,0.0,"4,075,310",,0.0,"17,912,840",,0.0,"4,478,210",,0.0,"22,586,700",,0.0,"5,646,675",,0.0,"26,858,540",,0.0,"6,714,635",,0.0
EFA,가정문화,I086,쟈키,"60,810,980","46,988,130",29.4,"15,479,164","11,960,626",29.4,,"9,082,700",-100.0,,"2,311,964",-100.0,,"6,320,500",-100.0,,"1,608,856",-100.0,,"8,497,500",-100.0,,"2,163,002",-100.0,,"10,038,200",-100.0,,"2,555,179",-100.0,,"13,049,230",-100.0,,"3,321,625",-100.0,"9,823,880",,0.0,"2,500,632",,0.0,"9,755,200",,0.0,"2,483,137",,0.0,"11,186,800",,0.0,"2,847,549",,0.0,"13,426,040",,0.0,"3,417,540",,0.0,"16,619,060",,0.0,"4,230,306",,0.0
EFA,가정문화,I095,아네로,"78,780,500","88,039,500",-10.5,"17,904,661","20,008,980",-10.5,,"13,081,000",-100.0,,"2,972,955",-100.0,,"11,312,500",-100.0,,"2,571,023",-100.0,,"18,060,500",-100.0,,"4,104,658",-100.0,,"21,024,500",-100.0,,"4,778,298",-100.0,,"24,561,000",-100.0,,"5,582,046",-100.0,"12,205,500",,0.0,"2,773,979",,0.0,"10,736,000",,0.0,"2,440,003",,0.0,"14,375,000",,0.0,"3,267,044",,0.0,"21,490,000",,0.0,"4,884,090",,0.0,"19,974,000",,0.0,"4,539,545",,0.0
EFA,가정문화,I102,글라스락,"171,737,360","134,387,908",27.8,"23,418,732","18,325,621",27.8,,,,,,,,"10,696,700",-100.0,,"1,458,643",-100.0,,"47,921,208",-100.0,,"6,534,710",-100.0,,"58,150,800",-100.0,,"7,929,652",-100.0,,"17,619,200",-100.0,,"2,402,616",-100.0,"57,840,400",,0.0,"7,887,327",,0.0,"20,148,400",,0.0,"2,747,508",,0.0,"36,567,100",,0.0,"4,986,426",,0.0,"49,498,760",,0.0,"6,749,829",,0.0,"7,682,700",,0.0,"1,047,642",,0.0
EFA,가정문화,I134,황토방,,"9,930,100",-100.0,,"2,256,842",-100.0,,"2,831,700",-100.0,,"643,567",-100.0,,"7,098,400",-100.0,,"1,613,275",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,I135,나이스필,"60,121,700","79,554,600",-24.4,"12,487,051","16,634,142",-24.9,,"16,852,800",-100.0,,"3,523,766",-100.0,,"9,382,000",-100.0,,"1,961,688",-100.0,,"12,137,500",-100.0,,"2,537,840",-100.0,,"12,453,000",-100.0,,"2,603,811",-100.0,,"28,729,300",-100.0,,"6,007,037",-100.0,"10,785,000",,0.0,"2,255,047",,0.0,"5,934,500",,0.0,"1,240,850",,0.0,"15,438,700",,0.0,"3,228,093",,0.0,"15,013,000",,0.0,"3,055,228",,0.0,"12,950,500",,0.0,"2,707,833",,0.0
EFA,가정문화,I193,엠엘디자인퍼니처,,"2,200,000",-100.0,,"320,000",-100.0,,"2,200,000",-100.0,,"320,000",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,I200,루루포헤,,"17,766,300",-100.0,,"2,664,945",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,"17,766,300",-100.0,,"2,664,945",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,I204,금성침대,"285,742,250","312,428,300",-8.5,"49,355,477","53,405,999",-7.6,,"68,446,000",-100.0,,"11,544,786",-100.0,,"77,667,300",-100.0,,"13,076,808",-100.0,,"52,947,000",-100.0,,"9,202,660",-100.0,,"68,450,000",-100.0,,"11,823,182",-100.0,,"44,918,000",-100.0,,"7,758,563",-100.0,"26,757,000",,0.0,"4,621,662",,0.0,"62,111,000",,0.0,"10,728,262",,0.0,"55,791,750",,0.0,"9,636,757",,0.0,"79,410,000",,0.0,"13,716,273",,0.0,"61,672,500",,0.0,"10,652,523",,0.0
EFA,가정문화,I222,미다움아트,,"24,067,500",-100.0,,"4,375,913",-100.0,,"3,199,000",-100.0,,"581,637",-100.0,,"4,744,000",-100.0,,"862,543",-100.0,,"5,219,500",-100.0,,"949,001",-100.0,,"4,387,000",-100.0,,"797,640",-100.0,,"6,518,000",-100.0,,"1,185,092",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,I229,롬베드,,"41,183,000",-100.0,,"6,364,647",-100.0,,"6,980,000",-100.0,,"1,078,729",-100.0,,"10,205,000",-100.0,,"1,577,135",-100.0,,"11,180,000",-100.0,,"1,727,820",-100.0,,"6,648,000",-100.0,,"1,027,418",-100.0,,"6,170,000",-100.0,,"953,545",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,I236,라미에스,"314,035,588","143,993,500",118.1,"42,823,037","19,635,466",118.1,,"45,246,000",-100.0,,"6,169,907",-100.0,,"30,883,000",-100.0,,"4,211,316",-100.0,,"18,453,000",-100.0,,"2,516,315",-100.0,,"29,705,000",-100.0,,"4,050,679",-100.0,,"19,706,500",-100.0,,"2,687,249",-100.0,"76,019,500",,0.0,"10,366,295",,0.0,"73,862,000",,0.0,"10,072,088",,0.0,"60,600,088",,0.0,"8,263,652",,0.0,"50,927,000",,0.0,"6,944,596",,0.0,"52,627,000",,0.0,"7,176,406",,0.0
EFA,가정문화,I263,토치,"46,000","21,933,500",-99.8,"5,436","2,592,144",-99.8,,"14,675,500",-100.0,,"1,734,382",-100.0,,"4,302,000",-100.0,,"508,416",-100.0,,"2,216,000",-100.0,,"261,894",-100.0,,"567,000",-100.0,,"67,006",-100.0,,"173,000",-100.0,,"20,446",-100.0,,,,,,,"46,000",,0.0,"5,436",,0.0,,,,,,,,,,,,,,,,,,
EFA,가정문화,I282,동행축제,"9,974,200",,0.0,"1,360,121",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,974,200",,0.0,"1,360,121",,0.0
EFA,가정문화,I301,테팔,"327,208,200","84,386,000",287.8,"29,746,200","7,671,456",287.8,,,,,,,,"45,339,800",-100.0,,"4,121,800",-100.0,,,,,,,,,,,,,,"39,046,200",-100.0,,"3,549,656",-100.0,,,,,,,"47,568,900",,0.0,"4,324,445",,0.0,"49,061,100",,0.0,"4,460,100",,0.0,"144,240,100",,0.0,"13,112,738",,0.0,"86,338,100",,0.0,"7,848,917",,0.0
EFA,가정문화,I303,코렐,"37,517,025","39,012,490",-3.8,"5,115,961","5,319,885",-3.8,,"11,932,020",-100.0,,"1,627,091",-100.0,,"6,263,770",-100.0,,"854,151",-100.0,,"10,605,010",-100.0,,"1,446,141",-100.0,,"3,689,870",-100.0,,"503,164",-100.0,,"6,521,820",-100.0,,"889,338",-100.0,"7,015,250",,0.0,"956,626",,0.0,"8,581,350",,0.0,"1,170,183",,0.0,"6,657,700",,0.0,"907,870",,0.0,"6,880,310",,0.0,"938,225",,0.0,"8,382,415",,0.0,"1,143,057",,0.0
EFA,가정문화,I310,PN풍년,"24,728,219",,0.0,"3,821,635",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,065,319",,0.0,"1,246,459",,0.0,"16,662,900",,0.0,"2,575,176",,0.0,,,,,,,,,,,,,,,,,,
EFA,가정문화,I319,무유무유,,"2,247,660",-100.0,,"326,931",-100.0,,"2,247,660",-100.0,,"326,931",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,I320,레스토닉,"17,614,000","58,349,000",-69.8,"3,682,928","12,200,245",-69.8,,"23,597,000",-100.0,,"4,933,918",-100.0,,"3,620,000",-100.0,,"756,910",-100.0,,"15,254,000",-100.0,,"3,189,472",-100.0,,"5,240,000",-100.0,,"1,095,636",-100.0,,"10,638,000",-100.0,,"2,224,309",-100.0,"2,000,000",,0.0,"418,182",,0.0,"3,429,000",,0.0,"716,973",,0.0,"790,000",,0.0,"165,182",,0.0,"2,179,000",,0.0,"455,609",,0.0,"9,216,000",,0.0,"1,926,982",,0.0
EFA,가정문화,I336,라쿠모,,"766,000",-100.0,,"146,236",-100.0,,"359,000",-100.0,,"68,536",-100.0,,"308,000",-100.0,,"58,800",-100.0,,"99,000",-100.0,,"18,900",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,I348,보물섬,,"13,926,718",-100.0,,"1,266,061",-100.0,,"11,235,900",-100.0,,"1,021,441",-100.0,,"2,690,818",-100.0,,"244,620",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,I349,동원 천지인,,"59,000",-100.0,,"10,727",-100.0,,"59,000",-100.0,,"10,727",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,I355,디자인엔,"20,780,500","5,678,700",265.9,"3,400,445","929,242",265.9,,"5,678,700",-100.0,,"929,242",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,"-198,000",,0.0,"-32,400",,0.0,,,,,,,,,,,,,,,,,,,"20,978,500",,0.0,"3,432,845",,0.0
EFA,가정문화,I365,인우엔터프라이즈,,"4,751,000",-100.0,,"1,079,772",-100.0,,"4,751,000",-100.0,,"1,079,772",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,I368,리빙아트,"5,994,200",0,0.0,"1,253,334",0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,994,200",,0.0,"1,253,334",,0.0,,,,,,
EFA,가정문화,I378,씰리,"156,247,009","88,124,900",77.3,"24,147,259","13,619,301",77.3,,,,,,,,"70,263,000",-100.0,,"10,858,825",-100.0,,"-2,690,000",100.0,,"-415,728",100.0,,0,0.0,,0,0.0,,"20,551,900",-100.0,,"3,176,204",-100.0,"11,630,000",,0.0,"1,797,364",,0.0,"72,372,001",,0.0,"11,184,764",,0.0,"24,867,000",,0.0,"3,843,081",,0.0,"16,226,008",,0.0,"2,507,652",,0.0,"31,152,000",,0.0,"4,814,398",,0.0
EFA,가정문화,I415,코르시카나,"58,121,010","40,442,000",43.7,"9,510,708","6,798,236",39.9,,,,,,,,,,,,,,"6,595,000",-100.0,,"1,083,726",-100.0,,"20,340,000",-100.0,,"3,500,182",-100.0,,"13,507,000",-100.0,,"2,214,328",-100.0,"15,980,000",,0.0,"2,614,909",,0.0,"10,620,000",,0.0,"1,737,817",,0.0,"14,582,000",,0.0,"2,386,143",,0.0,"9,705,000",,0.0,"1,588,091",,0.0,"7,234,010",,0.0,"1,183,748",,0.0
EFA,가정문화,I418,하우스웨어,,"45,862,800",-100.0,,"5,119,337",-100.0,,,,,,,,,,,,,,,,,,,,"15,835,720",-100.0,,"1,727,535",-100.0,,"30,027,080",-100.0,,"3,391,802",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,I446,네스프레소,,"2,403,000",-100.0,,"327,681",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,"2,403,000",-100.0,,"327,681",-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFA,가정문화,I500,소피의 가게,"57,319,200",,0.0,"11,984,923",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,333,000",,0.0,"2,160,538",,0.0,"4,422,000",,0.0,"924,598",,0.0,"11,375,000",,0.0,"2,378,409",,0.0,"11,086,000",,0.0,"2,317,982",,0.0,"20,103,200",,0.0,"4,203,396",,0.0
EFA,가정문화,I506,파고,"23,824,300",,0.0,"4,764,860",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,824,300",,0.0,"4,764,860",,0.0,,,,,,,,,,,,,,,,,,
EFA,가정문화,I664,쿡셀,"3,145,400",,0.0,"543,296",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,145,400",,0.0,"543,296",,0.0
EFA,가정문화,I684,일룸(ILOOM),"499,803,300",,0.0,"36,349,332",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,563,000",,0.0,"8,913,673",,0.0,"124,124,000",,0.0,"9,027,199",,0.0,"100,363,800",,0.0,"7,299,182",,0.0,"66,113,500",,0.0,"4,808,258",,0.0,"86,639,000",,0.0,"6,301,020",,0.0
EFA,가정문화,I763,인까사,"239,721,700","153,955,350",55.7,"33,186,719","21,556,729",54.0,,"19,578,000",-100.0,,"2,668,691",-100.0,,"30,201,000",-100.0,,"4,240,307",-100.0,,"29,785,350",-100.0,,"4,148,569",-100.0,,"30,925,000",-100.0,,"4,534,872",-100.0,,"43,466,000",-100.0,,"5,964,290",-100.0,"37,740,000",,0.0,"5,216,727",,0.0,"46,598,100",,0.0,"6,302,776",,0.0,"46,648,600",,0.0,"6,724,340",,0.0,"33,982,000",,0.0,"4,645,348",,0.0,"74,753,000",,0.0,"10,297,528",,0.0
